subset,class,spec,role,date,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
all,Priest,Holy,Healer,2026-08-21,1277,1277,745,24640,24200,39050,0.14,88.9,300.9,3,66.7,0.0,33.3,2920.0
all,Priest,Holy,Healer,2026-08-22,2507,2507,1425,23960,23176,38319,0.14,89.8,300.7,8,87.5,12.5,0.0,2975.0
all,Priest,Holy,Healer,2026-08-23,2008,2008,1323,23190,22381,37995,0.15,88.3,301.3,359,53.5,30.1,16.4,2885.0
all,Priest,Holy,Healer,2026-08-24,90,90,78,21626,20238,34793,0.13,87.8,299.6,75,56.0,26.7,17.3,2549.0
all,Priest,Shadow,DPS,2026-08-18,528,525,232,158938,159556,194955,1.27,40.0,293.0,1,100.0,0.0,0.0,2798.0
all,Priest,Shadow,DPS,2026-08-19,2028,1995,1028,166633,167515,216274,0.75,57.9,294.8,2,100.0,0.0,0.0,2852.0
all,Priest,Shadow,DPS,2026-08-20,743,736,488,178883,183981,231498,0.46,68.8,298.5,1,100.0,0.0,0.0,3016.0
all,Priest,Shadow,DPS,2026-08-21,1300,1294,733,189424,192447,240608,0.42,69.0,301.6,5,100.0,0.0,0.0,2988.0
all,Priest,Shadow,DPS,2026-08-22,1956,1946,1155,183402,192260,243705,0.41,71.4,301.4,16,31.2,43.8,25.0,2953.0
all,Priest,Shadow,DPS,2026-08-23,1460,1449,938,183086,191818,244245,0.38,72.5,302.2,295,38.0,19.7,42.4,3013.0
all,Priest,Shadow,DPS,2026-08-24,85,85,72,180959,189123,241695,0.33,75.3,303.0,81,40.7,19.8,39.5,2948.0
all,Rogue,Assassination,DPS,2026-08-18,205,203,104,178834,180427,222135,1.07,46.8,292.6,0,,,,2980.0
all,Rogue,Assassination,DPS,2026-08-19,1123,1120,556,190857,191894,248575,0.69,60.6,295.1,1,100.0,0.0,0.0,3037.0
all,Rogue,Assassination,DPS,2026-08-20,678,675,368,205221,209374,261908,0.52,66.1,299.3,0,,,,3087.0
all,Rogue,Assassination,DPS,2026-08-21,1327,1320,638,214095,217224,270630,0.58,60.6,301.7,3,66.7,33.3,0.0,3173.0
all,Rogue,Assassination,DPS,2026-08-22,2092,2085,1069,209631,216974,273932,0.58,63.2,301.9,16,43.8,18.8,37.5,3173.0
