subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level,gear_known,pct_no_set,pct_2set,pct_4set,avg_player_rating
timed,DeathKnight,Blood,Deathbringer,Tank,6296,6296,2922,103272,103556,136532,0.08,92.6,299.4,221,57.0,30.8,12.2,2937.0
timed,DeathKnight,Blood,San'layn,Tank,33099,33097,9939,121734,121913,160338,0.09,92.4,303.0,1569,39.3,37.0,23.7,2974.0
timed,DeathKnight,Blood,Unknown,Tank,1344,1344,884,118638,118774,159539,0.09,92.2,302.0,0,,,,2929.0
timed,DeathKnight,Frost,Deathbringer,DPS,2301,2296,1135,173495,178911,231048,0.33,74.3,298.7,115,33.9,37.4,28.7,2924.0
timed,DeathKnight,Frost,Rider of the Apocalypse,DPS,138,138,84,153818,153880,214530,0.22,80.4,297.2,3,33.3,0.0,66.7,2893.0
timed,DeathKnight,Frost,Unknown,DPS,91,90,57,173893,180298,226942,0.37,70.3,297.3,0,,,,3065.0
timed,DeathKnight,Unholy,Rider of the Apocalypse,DPS,6990,6925,3078,183208,186117,241108,0.29,76.1,298.9,298,38.9,23.8,37.2,2957.0
timed,DeathKnight,Unholy,San'layn,DPS,3702,3671,1419,211914,214582,270358,0.34,72.3,301.8,226,27.9,28.3,43.8,2943.0
timed,DeathKnight,Unholy,Unknown,DPS,388,380,288,186980,190880,258141,0.41,69.1,298.4,0,,,,2955.0
timed,DemonHunter,Devourer,Annihilator,DPS,7075,7022,2386,199007,203042,252087,0.58,58.0,299.8,319,46.4,26.0,27.6,2990.0
timed,DemonHunter,Devourer,Fel-Scarred,DPS,2,2,2,135677,135677,155470,1.0,50.0,301.5,0,,,,2998.0
timed,DemonHunter,Devourer,Unknown,DPS,523,513,319,191613,194514,244004,0.68,53.9,300.2,0,,,,2941.0
timed,DemonHunter,Devourer,Void-Scarred,DPS,7200,7141,2687,188393,191846,242681,0.64,57.0,301.9,329,25.8,28.3,45.9,2950.0
timed,DemonHunter,Havoc,Aldrachi Reaver,DPS,249,249,115,167716,173283,218443,0.53,62.2,298.6,11,45.5,36.4,18.2,3027.0
timed,DemonHunter,Havoc,Fel-Scarred,DPS,4246,4218,2046,175754,180582,234042,0.42,68.1,298.5,222,50.5,28.4,21.2,2892.0
timed,DemonHunter,Havoc,Unknown,DPS,145,143,115,171864,181076,222126,0.5,64.1,297.3,0,,,,2868.0
timed,DemonHunter,Vengeance,Aldrachi Reaver,Tank,207,207,125,86960,87650,122436,0.1,91.3,297.6,17,47.1,47.1,5.9,2941.0
timed,DemonHunter,Vengeance,Annihilator,Tank,5593,5593,2406,106292,106365,143609,0.1,92.2,299.4,369,49.3,23.8,26.8,2919.0
timed,DemonHunter,Vengeance,Unknown,Tank,180,180,127,109563,112935,143904,0.1,91.1,299.6,0,,,,2820.0
timed,DemonHunter,Vengeance,Void-Scarred,Tank,1,1,1,93865,93865,93865,0.0,100.0,306.0,0,,,,3158.0
timed,Druid,Balance,Elune's Chosen,DPS,12482,12400,4781,181079,183980,236995,0.5,64.6,300.0,615,34.8,26.8,38.4,2903.0
timed,Druid,Balance,Keeper of the Grove,DPS,120,120,103,117655,105526,177246,0.42,72.5,292.7,7,85.7,14.3,0.0,2858.0
timed,Druid,Balance,Unknown,DPS,376,371,297,176133,181318,233500,0.5,66.5,299.3,0,,,,2845.0
