subset,class,spec,hero_talent,role,parses,runs,characters,avg_dps,median_dps,p90_dps,avg_deaths,deathless_pct,avg_item_level
timed,DeathKnight,Frost,Rider of the Apocalypse,DPS,67,66,42,253567,244719,324518,0.97,43.3,330.2
timed,DeathKnight,Frost,Unknown,DPS,28,28,19,269445,252094,359743,1.36,35.7,332.2
timed,DeathKnight,Unholy,Rider of the Apocalypse,DPS,99,99,54,210984,198190,292500,0.74,53.5,327.7
timed,DeathKnight,Unholy,San'layn,DPS,111,110,62,271008,274627,353208,0.92,41.4,332.0
timed,DeathKnight,Unholy,Unknown,DPS,23,22,17,248937,239124,336691,0.52,65.2,329.2
timed,DemonHunter,Devourer,Aldrachi Reaver,DPS,1,1,1,157559,157559,157559,2.0,0.0,321.0
timed,DemonHunter,Devourer,Annihilator,DPS,433,431,174,282082,282047,376065,1.27,29.1,332.1
timed,DemonHunter,Devourer,Unknown,DPS,37,37,26,292371,285328,386608,1.41,37.8,332.4
timed,DemonHunter,Devourer,Void-Scarred,DPS,247,245,78,267037,271905,359691,1.66,23.5,330.7
timed,DemonHunter,Havoc,Aldrachi Reaver,DPS,29,29,16,222397,227624,255998,1.41,20.7,330.9
timed,DemonHunter,Havoc,Fel-Scarred,DPS,67,66,40,221026,204372,289631,1.3,35.8,326.9
timed,DemonHunter,Havoc,Unknown,DPS,9,9,7,233360,233773,289824,0.67,44.4,331.9
timed,DemonHunter,Vengeance,Aldrachi Reaver,Tank,11,11,6,136849,154756,181134,0.0,100.0,332.8
timed,DemonHunter,Vengeance,Annihilator,Tank,164,164,84,136016,129949,195482,0.39,71.3,329.2
timed,DemonHunter,Vengeance,Unknown,Tank,11,11,8,135144,130141,145140,0.73,36.4,333.5
timed,Druid,Balance,Elune's Chosen,DPS,611,610,265,262425,258270,347567,1.25,31.1,331.3
timed,Druid,Balance,Keeper of the Grove,DPS,5,5,4,239135,181065,328790,1.0,40.0,334.0
timed,Druid,Balance,Unknown,DPS,58,57,40,276140,258840,361538,1.16,31.0,332.9
timed,Druid,Feral,Druid of the Claw,DPS,40,40,26,227401,239538,304420,1.32,40.0,329.5
timed,Druid,Feral,Unknown,DPS,14,14,4,264297,268157,323975,1.14,35.7,333.1
timed,Druid,Feral,Wildstalker,DPS,3,3,2,202507,198700,248591,2.67,0.0,325.3
timed,Druid,Guardian,Druid of the Claw,Tank,8,8,5,107822,106573,131634,0.38,62.5,329.1
timed,Druid,Guardian,Elune's Chosen,Tank,93,93,48,124060,115484,181151,0.39,68.8,328.4
timed,Druid,Guardian,Unknown,Tank,8,8,7,139113,133842,175057,0.38,62.5,334.0
timed,Druid,Restoration,Keeper of the Grove,Healer,7,7,6,15838,13197,24318,1.57,28.6,324.9
timed,Druid,Restoration,Unknown,Healer,3,3,3,17422,17364,27590,2.33,0.0,334.0
timed,Druid,Restoration,Wildstalker,Healer,76,76,26,11968,8550,24406,1.12,26.3,328.8
timed,Evoker,Augmentation,Chronowarden,DPS,73,73,21,192590,186904,252439,1.01,46.6,326.8
timed,Evoker,Augmentation,Scalecommander,DPS,88,88,40,205413,203003,280650,0.95,40.9,326.5
timed,Evoker,Augmentation,Unknown,DPS,2,2,2,267545,267545,269363,0.5,50.0,334.0
timed,Evoker,Devastation,Flameshaper,DPS,22,22,7,216614,222412,285576,1.05,40.9,324.9
timed,Evoker,Devastation,Scalecommander,DPS,37,37,20,223308,226123,295195,1.27,29.7,327.5
timed,Evoker,Devastation,Unknown,DPS,2,2,2,267584,267584,272389,2.5,50.0,334.0
timed,Evoker,Preservation,Chronowarden,Healer,9,9,7,56837,47491,95328,1.33,44.4,331.1
timed,Evoker,Preservation,Flameshaper,Healer,173,173,72,67034,70511,93830,1.45,28.3,331.3
timed,Evoker,Preservation,Unknown,Healer,11,11,8,70282,73341,96625,1.55,18.2,332.9
timed,Hunter,BeastMastery,Dark Ranger,DPS,3,3,1,171830,171830,171830,0.0,100.0,321.0
timed,Hunter,BeastMastery,Pack Leader,DPS,96,96,42,230959,232990,332357,1.55,30.2,329.3
timed,Hunter,BeastMastery,Unknown,DPS,12,12,8,242118,221574,340065,1.75,25.0,327.1
timed,Hunter,Marksmanship,Dark Ranger,DPS,56,56,21,274500,279126,369796,0.8,46.4,332.1
timed,Hunter,Marksmanship,Sentinel,DPS,436,433,154,288359,289074,382150,1.44,29.8,332.0
timed,Hunter,Marksmanship,Unknown,DPS,31,30,22,327676,340399,408635,0.87,41.9,333.6
timed,Hunter,Survival,Pack Leader,DPS,76,76,29,222780,229954,283285,1.26,28.9,329.0
timed,Hunter,Survival,Sentinel,DPS,52,52,21,245064,231751,345856,1.19,32.7,330.2
timed,Hunter,Survival,Unknown,DPS,10,10,6,251238,247104,295790,0.9,40.0,332.7
timed,Mage,Arcane,Spellslinger,DPS,1136,1112,452,263201,258903,350104,1.18,33.5,330.8
timed,Mage,Arcane,Sunfury,DPS,168,165,87,287709,282900,400743,1.33,29.2,330.2
timed,Mage,Arcane,Unknown,DPS,84,84,49,272152,271820,350503,1.25,34.5,332.0
timed,Mage,Fire,Frostfire,DPS,1,1,1,233423,233423,233423,1.0,0.0,321.0
timed,Mage,Fire,Sunfury,DPS,86,86,35,256977,265454,341437,0.44,73.3,331.3
timed,Mage,Fire,Unknown,DPS,1,1,1,292202,292202,292202,0.0,100.0,334.0
timed,Mage,Frost,Frostfire,DPS,28,28,11,225834,210316,299472,0.93,39.3,328.2
timed,Mage,Frost,Spellslinger,DPS,23,22,18,216262,196407,362332,1.48,30.4,325.8
timed,Mage,Frost,Unknown,DPS,2,2,2,234766,234766,266817,1.5,50.0,327.5
timed,Monk,Brewmaster,Master of Harmony,Tank,52,52,30,125787,125970,173966,0.5,63.5,328.1
timed,Monk,Brewmaster,Shado-Pan,Tank,34,34,16,119567,110272,173982,0.41,67.6,327.4
timed,Monk,Brewmaster,Unknown,Tank,4,4,3,155146,170772,178819,0.0,100.0,330.8
timed,Monk,Mistweaver,Conduit of the Celestials,Healer,749,749,239,68061,67312,88087,0.85,45.8,331.4
timed,Monk,Mistweaver,Master of Harmony,Healer,13,13,8,69285,67352,92702,0.54,61.5,331.0
timed,Monk,Mistweaver,Unknown,Healer,51,51,36,72674,65931,86555,0.65,54.9,332.5
timed,Monk,Windwalker,Conduit of the Celestials,DPS,81,81,31,307851,317870,393499,1.23,32.1,333.0
